Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-043R-0000,0.8660274756289157,006-000A-0000,"https://media.ng-london.org.uk/iiif/009-00HV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5990837345041738,15
000-04JS-0000,0.8648362427204814,006-0019-0000,"https://media.ng-london.org.uk/iiif/009-005T-0000/full/256,/0/default.jpg",Uncategorised,0,0.5982596864461942,16
000-04LB-0000,0.8620057273062334,006-000G-0000,"https://media.ng-london.org.uk/iiif/009-004V-0000/full/256,/0/default.jpg",Uncategorised,0,0.5963016472469089,16
000-03HY-0000,0.8598845854774888,006-0009-0000,"https://media.ng-london.org.uk/iiif/009-01WY-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.5948343247843573,17
000-03SF-0000,0.8589731998857717,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-01IM-0000/full/256,/0/default.jpg",Uncategorised,0,0.5942038640897209,15
000-02P1-0000,0.8588928028919129,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01QV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5941482486125228,15
000-03GE-0000,0.8582423842254712,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01JS-0000/full/256,/0/default.jpg",Warfare,0,0.5936983145692637,39
000-03ZI-0000,0.8544452684001183,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0141-0000/full/256,/0/default.jpg",Water,0,0.5910716192356712,29
000-03X3-0000,0.8515422755918585,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-006P-0000/full/256,/0/default.jpg",Uncategorised,0,0.5890634430267719,15
000-02SW-0000,0.8469241410673662,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00IW-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.5858687992594178,24
000-04S3-0000,0.8468758051729539,006-0018-0000,"https://media.ng-london.org.uk/iiif/009-011C-0000/full/256,/0/default.jpg",Death,0,0.5858353623893992,45
000-03V2-0000,0.8462672775561949,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-001R-0000/full/256,/0/default.jpg",Uncategorised,0,0.5854144069261419,15
000-03RC-0000,0.8461319946315671,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01VO-0000/full/256,/0/default.jpg",Uncategorised,0,0.5853208235214793,16
000-030D-0000,0.8455656896419148,006-000R-0000,"https://media.ng-london.org.uk/iiif/009-01MV-0000/full/256,/0/default.jpg",Uncategorised,0,0.5849290760104401,52
000-02QC-0000,0.8449555906501027,006-000K-0000,"https://media.ng-london.org.uk/iiif/009-005A-0000/full/256,/0/default.jpg",Womens Lives,0,0.5845070335317455,39
000-03LN-0000,0.8446083564970159,006-001Q-0000,"https://media.ng-london.org.uk/iiif/009-01JM-0000/full/256,/0/default.jpg",Battles_and_Commanders,0,0.5842668306062812,52
000-03GM-0000,0.8438290715684373,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00VJ-0000/full/256,/0/default.jpg",Uncategorised,0,0.5837277519530124,15
000-03SL-0000,0.8401790334975234,006-0004-0000,"https://media.ng-london.org.uk/iiif/009-0158-0000/full/256,/0/default.jpg",Uncategorised,0,0.5812027992232881,15
000-016V-0000,0.8400550497156849,006-000P-0000,"https://media.ng-london.org.uk/iiif/009-01B9-0000/full/256,/0/default.jpg",Water,0,0.5811170321210517,26
000-03WG-0000,0.8368326873226297,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01E6-0000/full/256,/0/default.jpg",Uncategorised,0,0.5788879285987236,15
000-03YP-0000,0.8348678525095492,006-001D-0000,"https://media.ng-london.org.uk/iiif/009-010Q-0000/full/256,/0/default.jpg",Uncategorised,0,0.5775287331798378,15
000-03F0-0000,0.8315970889717965,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-002X-0000/full/256,/0/default.jpg",Uncategorised,0,0.5752661476499111,15
000-03XV-0000,0.8281812443957426,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0092-0000/full/256,/0/default.jpg",Uncategorised,0,0.5729032007657812,15
000-03HA-0000,0.327868112665326,006-001O-0000,"https://media.ng-london.org.uk/iiif/009-00B9-0000/full/256,/0/default.jpg",Battles_and_Commanders,1,0.5726865885545884,38
000-04I8-0000,0.8247071841168299,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00PF-0000/full/256,/0/default.jpg",Water,0,0.5704999825488624,16
000-0167-0000,0.8235951251819613,006-0001-0000,"https://media.ng-london.org.uk/iiif/009-00LE-0000/full/256,/0/default.jpg",Uncategorised,0,0.5697307039307609,15
000-03QA-0000,0.8196793174580477,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01B2-0000/full/256,/0/default.jpg",Water,0,0.5670219022115788,35
000-03P1-0000,0.8191888679483839,006-0020-0000,"https://media.ng-london.org.uk/iiif/009-00NA-0000/full/256,/0/default.jpg",Womens Lives,0,0.5666826285371244,15
000-02ZO-0000,0.8183378339877443,006-0019-0000,"https://media.ng-london.org.uk/iiif/009-009T-0000/full/256,/0/default.jpg",Uncategorised,0,0.5660939167263823,15
000-042J-0000,0.8166450612288632,006-001A-0000,"https://media.ng-london.org.uk/iiif/009-00PL-0000/full/256,/0/default.jpg",Contemporary_Style_and_Fashion,0,0.5649229231325348,15
000-04UI-0000,0.8164204389223948,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01I3-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.5647675382584991,30
